hidden_layer_sizes,alpha,f1_mean,f1_std,accuracy_mean,accuracy_std,recall_mean,recall_std,specificity_mean,specificity_std
"(64, 32)",0.0001,0.7209090905693796,0.033545228487369586,0.7336778846153846,0.03533212953280633,0.7336778846153846,0.03533212953280633,0.8236001648351648,0.02169526185463732
"(64, 32)",0.001,0.7207731180897241,0.03343916903360148,0.7335336538461539,0.03525821757880662,0.7335336538461539,0.03525821757880662,0.8234852930402932,0.021590294501323496
"(32,)",0.001,0.7116531999357895,0.04481801190040848,0.7204807692307693,0.05645916685472052,0.7204807692307693,0.05645916685472052,0.8190087179487179,0.023980706396585443
"(32,)",0.0001,0.7116286586116434,0.04479375131357562,0.7204567307692308,0.05643726838943903,0.7204567307692308,0.05643726838943903,0.8189904029304028,0.023960788567249952
"(64,)",0.0001,0.7030337509891166,0.032803197857270774,0.7101682692307691,0.03994696750520176,0.7101682692307691,0.03994696750520176,0.8141546336996336,0.018441423878132406
"(64,)",0.001,0.7030337509891166,0.032803197857270774,0.7101682692307691,0.03994696750520176,0.7101682692307691,0.03994696750520176,0.8141546336996336,0.018441423878132406
"(32, 16)",0.0001,0.6730838350400989,0.10013525540290008,0.7112259615384616,0.06510076303384266,0.7112259615384616,0.06510076303384266,0.7924196703296704,0.04906216690373004
"(16,)",0.0001,0.5020759038055138,0.07810474232651121,0.5768990384615384,0.055233019756058405,0.5768990384615384,0.055233019756058405,0.7179139194139194,0.028476664691832684
