model,f1_mean,accuracy_mean
Model 7,0.9510687596928225,0.9613750000000001
Model 5,0.8832787101158397,0.8835480769230769
Model 1,0.8657239765114173,0.8666923076923078
Model 3,0.8577796749195286,0.8601634615384616
Model 8,0.8505879290469077,0.8515
Model 6,0.8494116768314,0.8496538461538462
Model 4,0.8353757824864633,0.8434903846153845
Model 2,0.8311875917528212,0.8362307692307693
Model 9,0.7828313673790295,0.7994134615384614
Best ANN,0.7209090905693796,0.7336778846153846
